LIME-SHAP,LIME-RISE,RISE-SHAP,ALL,
4.121863799,12.48506571,32.67622461,2.001194743,
20.87244616,23.57813363,25.89729431,13.47321922,
69.41176471,19.86928105,11.30718954,11.30718954,
26.39390293,27.11592459,17.97031689,9.586843161,
23.67251462,10.85380117,29.89473684,2.081871345,
18.48591549,0.968309859,7.570422535,0,
0.267111853,12.88814691,16.7278798,0,
42.77456647,22.76567363,24.72209871,5.024455313,
0.296442688,4.249011858,21.93675889,0.197628458,
11.65711166,1.064701065,4.013104013,1.064701065,
30.2679659,33.00852619,39.82947625,24.36053593,
32.65706806,10.60209424,4.02486911,4.02486911,
35.7591623,32.98429319,28.76963351,13.32460733,
36.70576735,37.82991202,12.8054741,10.41055718,
18.81150643,18.84935655,7.948523846,7.948523846,
32.14800577,21.86448823,2.931283037,2.931283037,
32.93450882,34.44584383,28.46347607,20.87531486,
31.38030194,17.18188354,29.72681524,13.80301941,
23.10015098,10.5183694,25.41519879,0,
5.929919137,0.115517905,18.32884097,0.115517905,
19.90131579,20.88815789,10.91008772,3.728070175,
19.16017798,22.74749722,28.47608454,6.952169077,
22.49411765,24.37647059,0,0,
12.97214804,17.55055322,11.14078596,0,
11.2473654,47.09714505,11.09407933,9.906112282,
9.95375468,32.65800484,5.879762167,1.409381194,
12.37167676,11.68728613,28.00737036,0.763358779,
15.11627907,0,8.686730506,0,
21.15869018,0,0,0,
0,0,43.05064782,0,
,,,,
21.40078409,17.67478165,17.94017218,5.509680766,Averages for 3 features
,,,,
13.11607322,14.62482398,22.79219473,9.816938242,
26.48823258,30.54914629,20.62759575,13.1518228,
45.71674559,19.11321567,28.36848902,13.04347826,
28.69073276,17.4299569,15.00538793,5.360991379,
19.87974446,3.720405862,43.08530628,1.672303645,
35.30793319,19.54592902,28.28810021,13.38726514,
14.21415153,6.793988729,0.782717595,0,
26.76923077,27.79487179,17.64102564,10.46153846,
24.82462977,28.83865939,26.42244739,8.495713172,
16.09613984,18.04442826,18.39038602,6.081573197,
18.05963881,24.44351113,33.09533809,16.16967661,
15.83491261,22.63634449,28.59549379,5.095809644,
16.17031177,9.469520707,31.99162401,4.909260121,
15.2688172,15.8218126,16.58986175,4.792626728,
17.05559369,1.509951956,2.161976664,0,
30.29707832,47.09059661,17.9720108,12.9388657,
21.38244439,37.09638842,23.94164076,17.91437455,
19.53020134,4.060402685,26.67785235,3.523489933,
17.77691712,0,20.06196747,0,
15.28899938,2.392790553,5.562461156,0.062150404,
34.58646617,20.93233083,19.03759398,9.744360902,
28.20512821,29.12087912,28.13644689,12.95787546,
36.59634318,40.84388186,30.5766526,17.32770745,
23.62735382,10.3666997,22.00198216,0.733399405,
23.34864006,51.16566584,21.56481809,15.17131756,
28.33503924,26.76560901,23.84851586,6.687137496,
41.45652174,19.02173913,25.58695652,2.891304348,
4.594748858,4.081050228,7.334474886,1.02739726,
14.26751592,27.00636943,1.486199575,1.44373673,
11.92341166,5.091383812,18.0156658,1.914708442,
,,,,
22.82365657,19.5124118,20.85477279,7.225894101,Averages for 4 featrues
,,,,
14.41997852,12.24489796,20.94522019,2.577873255,
6.824925816,27.10894447,28.23230182,6.63416702,
46.65422554,19.78139163,25.77979206,15.30258598,
42.49870667,40.89498189,20.58975685,7.656492499,
32.96141955,20.75547789,28.25648609,4.301653448,
21.08081792,14.3865628,0.486854917,0,
13.46346346,5.055055055,1.751751752,0,
21.28960534,26.98721512,31.0172318,18.23235131,
29.54484961,12.48336439,15.54431727,3.300505723,
27.35648476,1.18119537,12.82778172,0,
15.46739819,24.62544841,41.56995147,13.65266934,
44.73786408,37.70873786,41.9223301,23.30097087,
33.75782881,16.36743215,24.05010438,8.66388309,
32.57985258,38.28009828,32.18673219,19.33660934,
12.48045857,19.8019802,13.93955185,4.559666493,
21.2772998,8.86829914,12.50827267,0.529450695,
22.86389008,31.70888793,26.44911979,18.39845427,
18.34014573,33.48142883,18.62448907,8.814643682,
15.77319588,9.621993127,0.515463918,0,
8.662074723,0.417449384,18.11730328,0.417449384,
23.26805028,11.98479977,11.63402514,2.806197018,
40.0201005,44.14070352,31.69849246,17.96984925,
29.25869894,53.85779123,44.32677761,27.86686838,
10.95193214,11.89443921,26.10744581,4.637134779,
20.83636364,58.44848485,20.32727273,11.11515152,
12.04933586,24.7311828,18.83301708,5.123339658,
32.86903346,8.799048751,22.93188381,2.734839477,
7.566713483,40.04564607,22.34901685,4.985955056,
39.52727273,8.618181818,16.8,7.527272727,
1.953973079,9.856708641,49.58749457,1.953973079,
,,,,
23.34453199,22.47126095,22.66367464,8.080000244,Averages for 5 features
,,,,
22.60856362,23.59550562,21.39386578,3.568174916,
43.4805607,32.95424491,38.58767522,17.00608305,
26.26634739,19.80106834,31.64487014,9.04402284,
25.2687039,27.60800843,31.19072708,10.26343519,
20.76560042,13.16203461,23.92938298,5.7857018,
32.60913706,4.263959391,5.949238579,2.862944162,
4.490500864,27.48033007,4.893494531,0.441374017,
31.63113535,27.56569162,36.31631135,20.47595439,
20.4921912,20.27922385,14.86038807,0.615238997,
37.59632727,29.51303492,12.29709788,7.148712904,
15.40256709,22.5704284,30.90515086,13.08551425,
46.23133657,39.14373089,52.52743299,27.90070157,
50.15546055,33.54061407,33.57947921,25.34006996,
30.03374578,51.68728909,23.71578553,16.81664792,
11.86440678,2.697541179,16.8775364,0.167104321,
32.79767667,32.21684414,23.678606,15.54695063,
28.03772216,38.19368879,15.61479869,13.72869061,
21.42857143,31.89655172,27.77093596,9.236453202,
30.65118208,18.43633347,25.05184571,6.86437163,
