LIME-SHAP,LIME-RISE,RISE-SHAP,ALL,
18.31345826,12.70868825,19.13117547,1.379897785,
14.374034,10.66460587,22.1240892,0,
27.20653525,40.02841414,28.34310069,15.96519268,
23.95808526,56.75160753,25.98237676,19.88568707,
31.85220961,15.33446028,17.09731949,6.761651775,
31.47191382,68.29724085,30.47158404,26.22842695,
30.7372176,18.38585018,16.70630202,2.095719382,
28.2099344,26.4604811,25.91377694,10.59044049,
10.37450921,36.07671398,22.31954092,5.904560556,
14.56771614,19.49025487,3.273363318,0,
43.28254848,32.30609418,36.32271468,26.86980609,
,,,,
26.87199663,27.77035116,23.94899888,10.71931764,Averages for 6 features
,,,,
16.01100413,7.716643741,38.76203576,1.540577717,
29.06295754,37.79892631,34.50463641,14.56808199,
39.50342783,24.53214749,21.58606633,10.33907727,
34.91620112,41.28092578,25.3990423,10.59457302,
25.12142776,39.29741331,27.32407094,12.2105501,
32.35584843,30.52718287,30.36243822,11.63097199,
13.54238456,22.69124742,28.54927636,5.065472088,
41.91399152,42.51968504,31.33454472,23.60185746,
33.89874739,29.33194154,9.603340292,2.792275574,
9.833175098,32.13074732,20.88702021,5.99484606,
22.1165485,36.50354487,33.78869099,20.4392184,
47.70123278,48.96301668,35.92458303,31.21102248,
32.49845393,30.68954855,38.2034632,17.05318491,
49.57127546,33.08324402,18.25652019,13.84423008,
42.75520077,21.28688921,16.52152879,8.526850508,
19.25611052,28.52284803,20.48884166,11.51965994,
10.59087768,31.01243953,5.528680028,0.0691085,
47.11897195,40.23766754,40.45875363,28.76882686,
23.24737345,16.50429799,20.47755492,3.533906399,
18.02497535,10.9102859,9.579362471,1.758133421,
24.91109531,21.08819346,26.79587482,7.290184922,
29.98551424,45.35651054,37.87220344,22.19539675,
19.06841339,1.975462674,16.36514868,1.434809732,
25.23466195,13.12746565,26.731057,5.822337097,
27.46522732,68.86028649,26.80091343,16.84658501,
18.4530543,18.21266968,14.96040724,1.187782805,
36.10475755,19.35041171,40.26761208,13.7694419,
18.75853696,38.15449992,22.71968432,8.878433753,
19.07876031,21.86522604,8.103497299,0.852999716,
8.499611298,7.825861622,25.52474734,1.166105209,
,,,,
27.21999395,28.7119077,25.12271987,10.48355006,Averages for 7 features
